Cm0: 0  W0: [[0. 0. 0. 0. 0.]]
Cm207: 19  W207: [[ 51.        -53.3957677 -28.443519  -43.37736    -6.6678826]]
Cm208: 4  W208: [[ 52.        -57.7833677 -36.170219  -31.41186    -8.1221826]]
Cm209: 2  W209: [[ 53.        -55.7523677 -34.318219  -34.42396    -8.1191796]]
Cm210: 247  W210: [[ 54.        -54.1619677 -32.106119  -37.54226    -8.2364296]]
Cm211: 10  W211: [[ 53.        -54.6814677 -28.842819  -40.63176    -7.2515296]]
Cm212: 34  W212: [[ 54.        -58.4317677 -42.301419  -23.03856   -10.0286296]]
Cm213: 27  W213: [[ 53.        -57.7870477 -37.695219  -31.38556    -7.3187296]]
Cm214: 78  W214: [[ 54.        -55.3953477 -33.138719  -36.37436   -10.2174296]]
Cm215: 77  W215: [[ 55.        -53.3776477 -31.340519  -39.33246   -10.0075296]]
Cm216: 23  W216: [[ 54.        -52.5907477 -40.906819  -35.54576    -2.5041296]]
Cm217: 80  W217: [[ 53.        -52.9199477 -36.451619  -40.11756    -1.5153296]]
Cm218: 14  W218: [[ 52.        -53.4394477 -33.188319  -43.20706    -0.5304296]]
Cm219: 22  W219: [[ 53.        -57.2597477 -46.243419  -26.24876    -2.8356296]]
Cm220: 8  W220: [[ 54.        -56.6524377 -42.289019  -31.02076    -7.3209296]]
Cm221: 28  W221: [[ 53.        -57.1719377 -39.025719  -34.11026    -6.3360296]]
